URL;Gibt es eine Kooperation? ;interessant?;Art des Inhalts;Art des Inhalts genau;Text des Links;Zusammenfassung;Zielgruppe;Firmensitz;Kostenmodell;Schwerpunkt;Technologie-Fokus;Sprache;Aktualität;DSGVO Text;DSGVO Ja/Nein;Provision;Wettbewerber;Relevanz KI-Coaching Bewertung;Relevanz KI-Coaching Begründung;Produktkategorie;Letzter Check;;;;
haufe.de/personal/neues-lernen/ki-gesteuertes-coaching_589614_644488.html;;;Artikel/Podcast;;Haufe: KI-gesteuertes Coaching / KI als Lernbegleiter;"Beitrag/Serie (u.a. Podcast) zu KI als individueller Lernbegleiter und KI, die Coaching-Aufgaben in HR/Learning übernimmt; Fokus Gelingfaktoren & Datenschutz.";"HR, OE, Corporate Learning; Coaches/Trainer";Freiburg, Deutschland (Haufe Group);Content/Portal (teils frei/teils Abo) – nicht verfügbar;KI in Personalentwicklung/Coaching;Konzept/Use-Cases (kein Tool);Deutsch;2025-08-05;"Datenschutz als Grenze/Anforderung für generative KI in HR betont; Datenschutzerklärung bei Haufe vorhanden.";Ja;Keine;Personio Blog, HRworks, SHRM/CIPD Content;Mittel;;;;;;;
haufe-akademie.de/blog/themen/coaching/ai-coach/;;;Fachblog/Guide;;AI-Coach: Künstliche Intelligenz im Coaching (Haufe Akademie);"Haufe Akademie Beitrag zu Potenzial und Grenzen von KI im Coaching: KI kann Reflexion anstoßen, Daten analysieren und Admin-Aufgaben übernehmen; ersetzt den Menschen nicht, sondern unterstützt hybride Modelle und Skalierung.";HR/L&D, Coaches, Führungskräfte, Organisationen mit Digital-Coaching-Interesse;Haufe Akademie (Freiburg im Breisgau, Deutschland);"Kostenloser Blogartikel; Haufe-Leistungen typischerweise B2B/Enterprise (nicht bepreist)";KI-Integration in Coaching, Hybrid-Coaching, Demokratisierung/Skalierung;GenAI/Chatbots, NLP, Analytics/Progress Tracking;Deutsch;2023/2024 (Themenstand);"Haufe betont für digitale Tools i.d.R. Enterprise-Security und DSGVO-Standards; Details über Datenschutzerklärung.";Ja;Keine;CoachHub, BetterUp, Retorio, Sharpist, Rocky.ai (Beispiele/Marktumfeld);Hoch; Grundlagen-/Orientierungsartikel zu KI im Coaching;;;;;;
headspace.com/organizations;;;Produkt-/Anbieterseite;;Headspace for Work;B2B Mental-Health-/Wellbeing-Angebot: Content + Zugriff auf Coaches/klinische Unterstützung (je nach Paket).;Unternehmen (HR), Mitarbeitende;Santa Monica, Kalifornien (USA);B2B (vertraglich/custom);Wellbeing & Coaching;Digitale Plattform/Content + menschliche Coaches;Englisch;nicht verfügbar;"GDPR/CCPA erwähnt; US-Datenverarbeitung; Zertifizierungen (u.a. SOC 2 Type II/HITRUST) werden genannt; Coaching-Angebot enthalten.";Ja;Affiliate/Provision nicht verfügbar;Modern Health, Spring Health, Lyra, Calm;Mittel;;;;;;;
healthvoucher.de/become-partner;;;Partner-Infoseite;;HealthVoucher – Become Partner;Partner-/Akzeptanzpartner-Seite: Gesundheitsanbieter können sich im HealthVoucher/RegioHealth Netzwerk registrieren, gelistet werden und Benefits/Voucher als Zahlungsmittel akzeptieren.;Gesundheitsanbieter (Physio, Studios, Coaches) + Employer-Benefit Teams;Deutschland (HealthVoucher GmbH / RegioHealth Netzwerk);"Partner-Registrierung kostenfrei; Service Fees (Employer) z.B. 11,5% bzw. 6,5% (Budget/Usage)";BGF/Health Benefits Netzwerk;Plattform/Abrechnung (kein KI-Fokus);Deutsch;nicht verfügbar;"Datenschutz/DSGVO (inkl. Datenminimierung; Consent-Tool) erwähnt.";Ja;Keine;GesundheitsTicket, Wellhub (Gympass), Urban Sports Club (B2B);Niedrig;;;;;;;
hellobetter.de/ello/;;;KI-Chat/Companion (App/Service);;Ello: Your AI Companion for Mental Wellbeing;"Ello ist ein KI-Begleiter für mentales Wohlbefinden (Text/Voice), der 24/7 Gespräche zu Stress, Sorgen und Alltagskonflikten anbietet und psychologische Reflexionstechniken nutzt; kein Ersatz für Psychotherapie.";"Erwachsene (18+) mit Bedarf an emotionaler Unterstützung/Selbstreflexion; auch Firmen/Kassen-Programme";HelloBetter / GET.ON Institut, Berlin/Hamburg/Potsdam (Deutschland);Abo: 7 Tage gratis, danach 19,99€/Monat (jederzeit kündbar);Mentales Wohlbefinden, Stressbewältigung, Selbstreflexion;Multi-Agent AI, NLP, Text & Voice, „Human-in-the-loop“ (Kontakt zu Psycholog:innen möglich);Deutsch (auch Englisch);2025 (Nov.);"DSGVO-konform, Server in Europa, anonyme Nutzung möglich; hohe DE-Sicherheitsstandards (laut Anbieter).";Ja;Keine;"Woebot, Wysa, Youper; informell: ChatGPT";Hoch; KI-gestützter Wellbeing-/Reflexions-Coach;;;;;;
helloezra.com/;;;Produkt-/Anbieterseite;;EZRA;Digitale Coaching-Plattform (LHH): On-demand Professional/Leadership Coaching für Unternehmen.;Unternehmen, Mitarbeitende & Führungskräfte;London (UK) + weitere Büros (u.a. USA/Kanada);B2B (custom/Quote);Professional/Leadership Coaching;Plattform + Coach-Network (Matching/Analytics möglich);Englisch;nicht verfügbar;"GDPR-Commitment; Rechte (Auskunft/Löschung etc.) erwähnt; Transfers via Standard Contractual Clauses; Kontakt: privacy@lhh.com.";Ja;Affiliate/Provision nicht verfügbar;CoachHub, BetterUp, Growthspace, Sharpist;Hoch;;;;;;;
honehq.com/ai/;;;Produkt-/Anbieterseite;;Hone;Leadership-/Workplace-Skills Plattform mit AI Coach (u.a. Roleplays, Micro-Learning, Slack-Integration) und Live-/Cohort-Trainings.;Unternehmen (L&D/HR), Führungskräfte & Mitarbeitende;San Francisco, Kalifornien (USA);B2B Abo (custom/vertraglich) + Testphase;AI Leadership/Skills Coaching;AI Coach, Roleplay/Feedback, Slack-Integration;Englisch;laufend;"GDPR-konform; SOC 2 Type II genannt; Aussage: Konversationen nicht zum Training der zugrunde liegenden KI-Modelle.";Ja;Affiliate/Provision nicht verfügbar;Valence, Torch, CoachHub, BetterUp;Hoch;;;;;;;
horizont.net/planung-analyse/nachrichten/zwischen-spiegel-und-coach-wie-kuenstliche-intelligenz-unser-kommunikationsverhalten-veraendert-227627;;;Fachartikel / Studienvorstellung;;Zwischen Spiegel und Coach: Wie KI unser Kommunikationsverhalten verändert (Horizont);Fachartikel (Studienbezug innerSense research) über Gen-Z-Nutzung von ChatGPT als emotionaler Gesprächspartner/„Spiegel“ zur Selbstreflexion und niedrigschwelliger Coach in Krisenzeiten.;Marketing-/Brand-Entscheider, Strateg:innen, Marktforschung, Psychologie/Consumer Insights;"Horizont (DE); Studie: innerSense research, Köln (Deutschland)";"Teilweise Paywall (Horizont+/Abo); Studie i.d.R. über Beratung/Vorträge vermarktet";Psychologie der KI-Nutzung, Kommunikationsverhalten, Self-Coaching via KI;Generative KI/LLMs (z.B. ChatGPT);Deutsch;2024/2025 (Studien-/Artikelkontext);"Datenschutz nicht zentral im Artikel; Website-Privacy/Cookies bei Horizont; implizit: persönliche Themen werden in digitale Tools verlagert.";Ja;Keine;"Rheingold, GfK (Marktforschung); KI-Coaching-Plattformen als Marktumfeld";Hoch; beschreibt KI als Self-Coaching-/Reflexions-Tool in der Praxis;;;;;;
humanresourcesmanager.de/leadership/ki-coaches-menschliche-coaches/;;;Editorial/Kolumne;;KI-Coaching vs. Menschliche Coaches (Human Resources Manager);Kolumne/Artikel: KI kann als jederzeit verfügbarer Sparringspartner für Organisation/Impulse dienen, hat aber keine echte empathische Resonanz. Argumentiert für „Augmented Coaching“ statt Ersatz menschlicher Coaches.;HR/PE, Führungskräfte, Coaches, Organisationsentwicklung;Human Resources Manager / Quadriga Media, Berlin (Deutschland);"Kostenloser Artikel (Magazin/Ads; kein Produktpreis)";Rolle von KI im Coaching, Leadership, Mensch vs. Maschine;KI im Coaching (konzeptionell), GenAI als Sparringspartner;Deutsch;2025 (Juli);"Standard-Datenschutzerklärung der Website (Cookies/Tracking); keine spezifischen AI-Privacy-Details im Artikel.";Ja;Keine;"Alternative: menschliches Coaching; KI-Tools als Ergänzung";Hoch; direkte Auseinandersetzung mit AI Coaching;;;;;;
humanresourcesmanager.de/leadership/ki-coaches-menschliche-coaches/;;;Artikel;;Human Resources Manager: KI-Coaches vs menschliche Coaches;"Artikel zur Abgrenzung KI-Coaching vs. menschliche Coaches: KI als verfügbarer Sparringspartner; tiefe Veränderung braucht menschliche Resonanz/„Artistic Intelligence“; Datenschutzrisiken werden adressiert.";HR Professionals, Führungskräfte, Coaches;Deutschland (Publisher);Kostenloser Artikel;Einordnung KI-Coaching;Konzept/Opinion;Deutsch;2025-07-14;"Datenschutz wird als kritischer Punkt für KI-Coaching genannt; Privacy Policy der Website vorhanden.";Ja;Keine;Haufe, ATD, HBR (ähnl. Einordnung);Mittel;;;;;;;
humanresourcesmanager.de/leadership/wirksamkeit-coaching-hype-evidenz/;;;Editorial/Fachartikel;;Wirksamkeit von Coaching: Zwischen Hype und Evidenz (Human Resources Manager);Artikel über Wirksamkeit von Coaching in Unternehmen: hohe Akzeptanz, aber Evidenz/Messbarkeit von Verhaltensänderung ist komplex. Kontextualisiert Coaching auch gegenüber Trends wie KI-Coaching.;HR/PE, Führungskräfteentwicklung, Coaches;Human Resources Manager / Quadriga Media, Berlin (Deutschland);"Kostenloser Artikel (Magazin/Ads; kein Produktpreis)";Coaching-Effektivität, Evidenz, Leadership Development;"Gering (mehr Psychologie/Wirksamkeit; KI wird als Kontrast/Trend erwähnt)";Deutsch;2025 (Aug.);"Standard-Datenschutzerklärung der Website (Cookies/Tracking); keine spezifischen AI-Privacy-Details.";Ja;Keine;"Alternativen: Training, Mentoring; KI-Coaching als Ergänzung/Alternative";Mittel; Coaching-Artikel, KI-Coaching nur im Umfeld;;;;;;
hyperspace.mv/improving-active-listening-skills-using-ai-powered-simulations/;;;Blogartikel (Educational);;Improving Active Listening Skills Using AI-Powered Simulations;Blogbeitrag: KI-gesteuerte 3D-Simulationen mit autonomen Avataren trainieren aktives Zuhören und Empathie. Nutzer erhalten Echtzeit-Feedback zu Tonfall, Wortwahl und Körpersprache in einer sicheren Übungsumgebung.;B2B: HR/L&D, Sales/Service, Führung, Teams mit Soft-Skill-Trainingsbedarf;"Hyperspace (global; Standort auf Blogseite nicht klar ausgewiesen)";Nicht angegeben (typisch Enterprise/B2B Pricing);Soft-Skill-Training (Active Listening, Empathie, Kommunikation) via Simulation;AI-Avatare, NLP, Speech Recognition, 3D-Simulation/Metaverse, Echtzeit-Feedback;Englisch;Ohne Datum (Kontext 2023/2024);"Im Artikel keine konkreten DSGVO-Details; Privacy Policy typischerweise separat.";Unklar;Keine;"Virti, Maudsley Learning; Alternativen: klassisches Präsenztraining/eLearning";Hoch; KI liefert direktes Coaching-Feedback in Simulationen;;;;;;
id37.io/referenzen/coaching;;;Case Studies/Referenzen + Produktinfos;;Referenzen – ID37 (Coaching);"Referenz-/Case-Seite zur ID37 Persönlichkeitsanalyse (16 Lebensmotive) für Coaching, Führung, Change und Teamentwicklung. Zeigt Einsatzfälle; bietet optional einen AI Coach („Jay“) als Ergänzung.";"Coaches/Berater, HR, Führungskräfte, Teams; auch Einzelpersonen (Selbstreflexion)";ID37 Company GmbH, Berlin (Deutschland);"B2C Test ca. 119€; optional AI Coach „Jay“ ca. 5€/Monat; B2B Konditionen auf Anfrage";Motiv-/Persönlichkeitsanalyse, intrinsische Motivation, Self-Leadership, Coaching-Interventionen;Digitales Assessment, interaktive Reports, AI-Coach-Chatbot;Deutsch (auch Englisch);Aktiv (2023/2024+);"Als DE-Anbieter DSGVO-relevant; konkrete Details über Datenschutzerklärung/AGB.";Ja;"Keine (kein Affiliate; ggf. Partner-/Master-Modell für Consultants)";"MBTI, DISC (als Positionierung/Abgrenzung); Reiss Motivation Profile (RMP)";Hoch; Assessment + optionaler AI Coach;;;;;;
infinity-box.ai/preise/;;;Pricing-Seite (SaaS);;Preise – Deine Funktionalitäten mit InfinityBox;Preisseite zur InfinityBox: KI-gestützte Coaching-Plattform mit seat- und laufzeitbasiertem Abo (12/24/36 Monate, Rabatte). Fokus auf dialogbasiertes Skill-Development inkl. Admin/Reporting.;B2B: Unternehmen/Organisationen (Mitarbeiterentwicklung), teils Bildungseinrichtungen;Anbieter/Impressum nicht auf der Unterseite ersichtlich (DACH-Fokus);"Abo nach Seats + Laufzeit (24M: 5% Rabatt, 36M: 10% Rabatt; konkrete Preise abhängig von Auswahl/Angebot)";Mitarbeiterentwicklung, Soft Skills, dialogbasiertes Lernen/Coaching, messbarer Fortschritt;"AI-Dialogsystem (Text/Voice), Analytics/Reporting, Rollen-/User-Management; Integration-Kontext erwähnt";Deutsch;Aktiv (2024/2025 Kontext);"Explizit DSGVO-konform; Hosting bei ISO 27001 / SOC 2 Type 2 zertifizierten Providern; Ausrichtung EU AI Act (laut Seite).";Ja;Keine;"CoachHub, BetterUp; weitere Digital-/AI-Coaching-Plattformen";Sehr hoch; dedizierte AI-Coaching-Plattform (Pricing/Features);;;;;;
insight7.io/ai-coaching-platform-features-that-improve-listening-skills/;;;Blogartikel/Guide;;AI coaching platform features that improve listening skills (Insight7);Artikel erklärt, wie KI-Coaching-Plattformen durch automatisierte Analyse von Kundengesprächen (Emotion/Empathie/Sentiment) datenbasierte Coaching-Empfehlungen geben und so „Active Listening“ in Support-/Service-Teams verbessern.;Customer Service/Support, QA, Sales, Team Leads, Enablement/Training;"Insight7 (SaaS/CX-Analytics; Standort im Beitrag nicht genannt)";"B2B SaaS (Contact Sales/Request Demo; keine Preise im Artikel)";Skill-Coaching für Gesprächsqualität, Empathie, Kundeninteraktionen;NLP, Sentiment/Emotion Detection, Call Analytics, Automated QA, ML;Englisch;Ohne Datum (Kontext 2023/2024);"Hinweis auf Datenschutz-/Security-Standards; konkrete DSGVO-Details typischerweise in separater Privacy Policy.";Unklar;Keine;CallMiner, Tethr, Gong, Chorus;Hoch; KI-basiertes Coaching/Feedback für Kommunikationsskills;;;;;;
intentionalworkdesign.substack.com/p/warum-ki-produktiver-and-erschopfter?r=2dt9z7&utm_campaign=post&utm_medium=web&triedRedirect=true&just_subscribed=true;;;Newsletter-Artikel/Essay;;Warum KI produktiver AND erschöpfter macht (Intentional Work Design);Newsletter-Essay über das Effizienz-Paradox: GenAI steigert Produktivität bei Einzelaufgaben, führt aber zu Arbeitsverdichtung/Erschöpfung (mehr Aufgaben, weniger Reibung, weniger Pausen).;Führungskräfte, Wissensarbeit, HR, People/Org, New-Work-Interessierte;"Intentional Work Design (Substack; Schweiz/Zürich-Kontext)";"Freemium (Substack; teils kostenlos, teils Abo/Paywall)";Arbeitsgestaltung, digitale Transformation, Energie-/Grenzmanagement bei KI-Nutzung;Generative KI (ChatGPT/Claude/Copilot etc.) im Arbeitsalltag;Deutsch;2026 (Feb.);"Substack-Privacy (Cookies/Tracking/Newsletter-Analytics); keine speziellen DSGVO-Details im Artikel.";Ja;Keine;Ähnliche Business-/KI-Newsletter (z.B. t3n/OMR/Work-Life-Formate);Mittel; wichtig für Coaching zu KI-Arbeitsroutinen, aber kein KI-Coaching-Produkt;;;;;;
intuitionlabs.ai/software/telepsychiatry-digital-mental-health/chatbots-and-ai-therapy-assistants/wysa;;;Software-Listing/Produktübersicht;;Wysa (IntuitionLabs Listing);Listing/Übersicht zu Wysa, einem KI-gestützten Mental-Health-Begleiter mit evidenzbasierten Übungen (CBT/DBT/Achtsamkeit) und optionalem menschlichem Coaching.;Privatpersonen (Stress/Angst/Schlaf), Unternehmen (Wellbeing-Programme), teils Healthcare/Studierende;"Wysa (global; USA/UK/Indien-Kontext); Plattform: IntuitionLabs (USA)";"Freemium + Premium (Abo; Premium inkl. Programme/ggf. Human Coach)";Mentale Gesundheit, Resilienz, Stress-/Angstbewältigung, Schlaf;Conversational AI/NLP, therapeutische Übungsbibliothek, Mood Tracking, de-identified Analytics;Englisch;Aktiv (2025/2026 Kontext);"Betont Anonymität/De-Identifizierung; konkrete Datenschutz-/Compliance-Details über Anbieter-Policies.";Unklar;Keine;"Woebot, Youper, Tess, Replika; Teletherapy: BetterHelp/Talkspace";Hoch; KI-gestütztes Coaching/Support für mentale Gesundheit;;;;;;
isaacson.uk/;;;Personal-/Event-Seite;;Sam Isaacson;Website von Sam Isaacson (Coachtech): Ressourcen/Community/Events zur Schnittstelle Coaching & Technologie (u.a. Digital & AI Coaches’ Conference, Coachtech Collective, Bücher).;Coaches, Coaching-Tech-Interessierte, L&D;UK;"Tickets/Membership/Books (transaktional); Preise je Angebot";Coaching-Technologie / AI im Coaching;Community + Events + Inhalte (kein KI-Coach-Tool selbst);Englisch;nicht verfügbar;"UK GDPR; Daten für Tickets/Orders/Marketing; Drittanbieter-Payments.";Ja;Affiliate/Provision nicht verfügbar;ICF/EMCC Events, Coachtech Communities;Mittel;;;;;;;
jonschumacher.com/;;;Service-/Angebotsseite + Trainings;;Jon Schumacher | Webinar Coach, Consultant, and Expert;Anbieter für Webinar-Marketing: Unterstützung beim Aufbau automatisierter Webinar-Funnel, Conversion-Optimierung und Lead-Generierung (30-Minuten-Webinar-Frameworks) für Coaches/B2B-Services.;Coaches, Berater, Kursanbieter, B2B-Service-Businesses;"Jon Schumacher (USA; u.a. Marketing Mastery Media INC)";Free Content/Challenge + bezahlte Kurse + High-Ticket Coaching/Consulting (Preise teils via Call);Webinar-Sales, Funnel, Lead-Gen, Conversion-Optimierung;Webinar-/CRM-Tools (z.B. eWebinar, Ontraport, Zoom/GoToWebinar);Englisch;Aktiv (2023–2025 Kontext);"Privacy Policy/Terms vorhanden; US-Kontext (international: GDPR/CCPA übliche Rechte je nach Policy).";Unklar;"Ja (Affiliate/Partner für Tools wie eWebinar häufig; im Kontext genannt)";Amy Porterfield, Russell Brunson/ClickFunnels, Demio/StealthSeminar;Niedrig bis mittel; kein KI-Coaching, aber relevant für Go-to-Market von KI-Coaches;;;;;;
jonschumacher.com/;;;Anbieterseite;;Jon Schumacher (Webinar Coaching);"Webinar-/Funnel-Coach für Coaches/Consultants: Programme & Done-for-you zur Skalierung von Sales Webinaren; erwähnt AI-Tools im Marketing.";Coaches, Consultants, B2B Service Businesses;Reno, Nevada, USA;Programme/Kurse (Einmalpreis) + Consulting (Angebot);Marketing/Sales Enablement (Webinare);No-code/AI Tools für Offers/Scripts (ConversionOS);Englisch;nicht verfügbar;"Privacy Policy vorhanden (US); Datenverarbeitung/Payments via Stripe/PayPal genannt.";Ja;Affiliate/Provision nicht verfügbar;Russell Brunson/ClickFunnels, WebinarJam, Kajabi Coaches;Niedrig;;;;;;;
kajabi.com/;;;Produkt-/Anbieterseite;;Kajabi;All-in-one Plattform für Creator/Coaches: Website, Funnels, Kurse/Memberships und Zahlungen.;Creator, Coaches, Solopreneure;Newport Beach, Kalifornien (USA);"SaaS-Abo (ca. $89–$499/Monat; Testphase)";Coaching-Business Infrastruktur;Web-Plattform (teilw. KI-Features möglich);Englisch;nicht verfügbar;"GDPR-Tools + DPA/SCCs; EU-Vertretung (EDPO) genannt; Controller/Processor-Rollen beschrieben.";Ja;Affiliate/Provision möglich (Programm je nach Region);Teachable, Thinkific, Podia, Systeme.io;Niedrig;;;;;;;
koganpage.com/hr-learning-development/coaching-bots-and-automation-how-ai-is-reshaping-coaching;;;Blog/Insight-Artikel;;Kogan Page: Coaching Bots and Automation;Artikel darüber, wie AI/Automation Coaching verändert: Skalierung/On-demand, Prozessmapping vor Automatisierung, AI als Ergänzung (nicht Ersatz) des Human-Coachs.;Coaches, Coaching-Businesses, L&D/HR;London, UK (Kogan Page);Kostenloser Artikel (Publisher-Website);Coachbots & Automatisierung;AI/Automation im Coaching-Business;Englisch;2026-02-17;Privacy Policy vorhanden (GDPR).;Ja;Keine;ATD, Haufe, HR-Tech Blogs;Hoch;;;;;;;
kornferry.com/;;;Anbieter-/Unternehmensseite;;Korn Ferry;"Organisations- und Talentberatung inkl. Leadership-/Career-Angeboten; teils digitale Tools/Assessments.";Unternehmen, Führungskräfte, HR;USA/Global;B2B Consulting/Services (custom);Leadership & Talent Development;Assessments/Plattform (kein reines KI-Coaching-Tool);Englisch;nicht verfügbar;"Privacy Policy vorhanden; DSGVO-Details nicht geprüft.";Ja;Affiliate/Provision nicht verfügbar;McKinsey, Deloitte, SHL, Hogan;Mittel;;;;;;;
koviko.de/impressum/;;;Impressum (Legal);;Impressum – koviko;Impressumsseite von koviko (Potsdam): Anbieter digitaler Lern-/Wissenslösungen und KI-gestützter Simulationen/Portale für Training, Wissensmanagement und (u.a.) KI-Coaching-Anwendungsfälle im Unternehmenskontext.;B2B: große Organisationen, HR/L&D, Wissensmanagement, Branchen mit Trainingsbedarf (u.a. Healthcare/Care);koviko GmbH, Potsdam (Deutschland);"B2B (Custom Quote; Drittquellen nennen teils ab ~500€/Monat je nach Nutzerzahl)";Wissensmanagement, E-Learning, Onboarding, KI-gestützte Simulationen/Training;Portalplattform, SCORM, Suche (z.B. Elasticsearch), KI-Features/Simulationen;Deutsch;2024/2025 Kontext;"Deutscher Anbieter; Datenschutzerklärung typischerweise vorhanden (DSGVO-relevant).";Ja;Keine;360Learning, Absorb LMS, Connecteam (je nach Use-Case);Mittel; eher Learning/Knowledge-Plattform, aber mit KI-Simulation/Coaching-nahen Features;;;;;;
leanchange.org/ai;;;Ressourcen-/Landingpage;;Lean Change – AI;Resource-Hub für Change-Professionals: AI-Use-Cases, Tool-Reviews, Prompt-Know-how, Kurse/Workshops und Community („AI Club“) für AI-gestützte Change-Arbeit.;Change Manager, Change Leader, Transformationsverantwortliche;Toronto, Kanada (Lean Change Inc.);"Kurse/Workshops (pro Kohorte/Termin); freie Ressourcen";AI für Change Management;Prompting/Tooling, Community, AI-Governance Themen;Englisch;"2024–2026 (laufend; Surveys/Updates)";"Privacy Policy vorhanden; behandelt u.a. ethische/privacy Aspekte von AI im Change; Passwortlos-Login erwähnt.";Ja;Affiliate/Provision nicht verfügbar;Prosci, Kotter, ADKAR Trainingsanbieter, ATD Content;Mittel;;;;;;;
learnworlds.com/build-ai-coach-inside-your-course/;;;Guide/Webinar-Seite;;LearnWorlds: Build an AI coach inside your course;Guide/Webinar: Kurs-inhaltlich „grounded“ AI-Chat/Coach in LearnWorlds einbauen (häufig via Zapier/Integrationen), um Lernende in Echtzeit zu unterstützen.;Course Creators, Customer Education, L&D, Instructional Design;Zypern/UK (LearnWorlds – nicht verfügbar);"SaaS-Abo (LearnWorlds); AI Features teils Add-on/Key-basiert";AI in Learning / Course Support;"LLM-Chat grounded in Kurscontent; Integrationen (Zapier/OpenAI Key optional)";Englisch;nicht verfügbar;"Privacy Policy vorhanden; Datenschutz hängt auch von Integrationen (Zapier/OpenAI) ab.";Ja;Affiliate/Provision nicht verfügbar;Teachable, Thinkific, Kajabi, Moodle;Mittel;;;;;;;
likeminded.care/;;;Produkt-/Anbieterseite;;Likeminded;B2B Mental-Health-Plattform: Zugang zu Coaches/Therapeut:innen, Gruppenformate und Inhalte.;Unternehmen, Mitarbeitende;Berlin (Deutschland);B2B (vertraglich);Wellbeing & Coaching;Digitale Plattform + menschliche Coaches;Englisch/Deutsch;nicht verfügbar;"Privacy Policy vorhanden; DSGVO-Details nicht geprüft.";Ja;Affiliate/Provision nicht verfügbar;Lyra, Spring Health, Modern Health, OpenUp;Mittel;;;;;;;
linc.de/impressum/;;;Impressum (Legal);;Impressum – LINC Personality Profiler / LINC;Impressum der LINC GmbH: Anbieter psychologisch fundierter Persönlichkeitsdiagnostik (Big Five), digitaler Coaching-Infrastruktur (u.a. Coaching Board) sowie Weiterbildungen/Zertifizierungen.;"Coaches, Trainer, HR, Berater, Organisationen; teils auch Einzelpersonen";LINC GmbH, Lüneburg (Deutschland);B2B Lizenzen/Zertifizierungen + Direktverkauf einzelner Analysen (Preise nicht im Impressum);Persönlichkeitsdiagnostik, Entwicklung, digitale Coaching-Settings;Online-Assessments, Coaching-Plattform (Video/Whiteboard), psychometrische Auswertung;Deutsch;2025 (Copyright-Kontext);"Umfangreiche Datenschutzerklärung; Server in Deutschland; DSGVO-Grundlagen (Art. 6) und Betroffenenrechte genannt.";Ja;Keine;Hogan, MBTI, DISC/Persolog, weitere Big-Five-Anbieter;Mittel; starke Basis (Diagnostik/Coaching-Plattform), aber nicht primär KI-Coach;;;;;;
link.springer.com/article/10.1007/s11613-025-00980-9?utm_source=chatgpt.com;;;Wissenschaftlicher Artikel;;Springer Artikel: Akzeptanz KI-Tools im Coaching (UTAUT);"Empirische Studie: Akzeptanz KI-gestützter Tools bei Coaches (UTAUT; Einfluss von Nutzen/Bedienbarkeit/sozialem Einfluss, Alter als Moderator).";Coaching-Forschung, Coaches, HR/Weiterbildung;SpringerLink (Publisher-Plattform);Kauf/Institutioneller Zugang;KI-Tools im Coaching (Akzeptanzforschung);UTAUT/Adoption, Tech Acceptance;Deutsch;2025;Springer Nature Privacy Policy vorhanden (GDPR).;Ja;Keine;Ähnliche Forschung: HCI/IS Journals, Coaching-Studien;Hoch;;;;;;;
link.springer.com/book/10.1007/978-3-662-72311-1;;;Buch;;Springer Buch: Praxisleitfaden KI in der Unternehmenskommunikation;Fachbuch zu KI in der Unternehmenskommunikation (Daten, Personalisierung, Change/Krise). Coaching nur indirekt (Kompetenzaufbau/Enablement).;Kommunikation/PR, Change/Comms, Führung/Organisationen;"Springer (UK/London als Controller), global; Verlag/Plattform";Kauf (eBook/Print) oder institutioneller Zugang;KI in Unternehmenskommunikation;Daten-/KI-Enablement (kein Coaching-Tool);Deutsch;2026;Springer Nature Privacy Policy vorhanden (GDPR-Rechte, Opt-out, etc.).;Ja;Keine;Andere KI-Kommunikations-Fachbücher, PR-Handbücher;Niedrig;;;;;;;
link.springer.com/chapter/10.1007/978-3-662-72311-1_2;;;Buchkapitel;;Springer Kapitel: Daten als Fundament KI-gestützter Kommunikation;"Kapitel über Datenqualität/-management als Voraussetzung für KI in Kommunikation; inkl. Ethik/Transparenz/Bias.";Kommunikation, Data/AI Enablement, Management;SpringerLink (Publisher-Plattform);Kauf/Institutioneller Zugang;Daten & KI in Kommunikation;Data Governance, Ethik/Compliance;Deutsch;2026;Springer Nature Privacy Policy vorhanden (GDPR).;Ja;Keine;Data-Governance Literatur, KI-Compliance Guides;Niedrig;;;;;;;
link.springer.com/chapter/10.1007/978-3-662-72311-1_6;;;Buchkapitel;;Springer Kapitel: Krisenkommunikation – schneller durch KI;Kapitel über KI in der Krisenkommunikation (Speed/Präzision, Decision Support, Human-in-the-loop).;Kommunikation/PR, Krisen-/Change-Teams;SpringerLink (Publisher-Plattform);Kauf/Institutioneller Zugang;KI in Krisenkommunikation;Entscheidungsunterstützung, Daten/Analyse;Deutsch;2026;Springer Nature Privacy Policy vorhanden (GDPR).;Ja;Keine;PR-/Crisis-Comms Literatur, KI-PR-Tools;Niedrig;;;;;;;
linkedin.com/company/deep-care-gmbh/posts/?feedView=all;;;Social Feed;;LinkedIn – Deep Care GmbH (Posts);LinkedIn-Unternehmensfeed (laufende Posts/Updates) von Deep Care GmbH.;Allgemeines Publikum, Recruiting, Partner/Customer Updates;LinkedIn (USA) / Deep Care: Ludwigsburg, Deutschland;Kostenlos (Social Media);Unternehmensupdates;Kein spezifischer KI-Coaching-Inhalt (Feed variabel);Variiert;laufend;"LinkedIn Privacy Policy/Tracking; DSGVO-Optionen für EU.";Ja;Keine;Xing, Company Blog/PR;Niedrig;;;;;;;
